arm,n_seeds,S3-S6_mean,S3-S6_std,S3-S6_strict,S3-S6_spd,S7-S10_mean,S7-S10_std,S7-S10_strict,S7-S10_spd,delta_mean
guard,5,13.93,2.29,5/5,0.968,12.54,1.44,5/5,0.928,-1.39
llm_fork,7,17.89,2.02,6/7,0.989,15.84,1.63,7/7,0.919,-2.05
llm_single,5,17.92,1.57,4/5,0.985,15.75,1.78,5/5,0.906,-2.17
mono,5,13.8,2.71,0/5,1.014,12.25,3.1,4/5,0.977,-1.55
random_fork,7,12.36,5.3,7/7,0.97,10.87,4.55,7/7,0.931,-1.49
schedule_ep,5,15.61,3.68,5/5,0.968,13.83,3.04,5/5,0.924,-1.78
schedule_comp,5,15.11,4.01,5/5,0.968,,,,,
guard+torque,5,4.11,2.92,5/5,0.969,,,,,
