kind,duty_deg_per_s,J,label,params
search,1.722,22.911,llm r=0.25 qt=3.45,"{""horizon"": 20, ""r"": 0.25, ""qt"": 3.45, ""wc_v"": 0.35, ""tau_adapt"": 5.0, ""adapt"": ""offset""}"
search,1.1246,21.757,llm r=0.23 qt=3.35,"{""horizon"": 15, ""r"": 0.23, ""qt"": 3.35, ""wc_v"": 0.38, ""tau_adapt"": 5.2, ""adapt"": ""rls""}"
search,1.7072,23.269,llm r=0.255 qt=3.3,"{""horizon"": 20, ""r"": 0.255, ""qt"": 3.3, ""wc_v"": 0.4, ""tau_adapt"": 5.0, ""adapt"": ""rls""}"
search,1.736,23.269,llm r=0.24 qt=3.5,"{""horizon"": 20, ""r"": 0.24, ""qt"": 3.5, ""wc_v"": 0.38, ""tau_adapt"": 4.8, ""adapt"": ""rls""}"
search,1.3347,21.765,llm r=0.2 qt=3.7,"{""horizon"": 15, ""r"": 0.2, ""qt"": 3.7, ""wc_v"": 0.42, ""tau_adapt"": 5.5, ""adapt"": ""rls""}"
search,1.7272,23.004,llm r=0.27 qt=3.4,"{""horizon"": 20, ""r"": 0.27, ""qt"": 3.4, ""wc_v"": 0.4, ""tau_adapt"": 5.5, ""adapt"": ""offset""}"
search,1.715,23.156,llm r=0.25 qt=3.3,"{""horizon"": 20, ""r"": 0.25, ""qt"": 3.3, ""wc_v"": 0.38, ""tau_adapt"": 5.2, ""adapt"": ""rls""}"
search,1.7018,23.355,llm r=0.26 qt=3.35,"{""horizon"": 20, ""r"": 0.26, ""qt"": 3.35, ""wc_v"": 0.4, ""tau_adapt"": 5.0, ""adapt"": ""rls""}"
search,1.7352,22.863,llm r=0.25 qt=3.4,"{""horizon"": 20, ""r"": 0.25, ""qt"": 3.4, ""wc_v"": 0.38, ""tau_adapt"": 5.2, ""adapt"": ""offset""}"
search,1.6678,22.999,llm r=0.28 qt=3.2,"{""horizon"": 20, ""r"": 0.28, ""qt"": 3.2, ""wc_v"": 0.45, ""tau_adapt"": 5.8, ""adapt"": ""rls""}"
search,1.6337,22.531,es r=0.3 qt=3,"{""horizon"": 20, ""r"": 0.3, ""qt"": 3.0, ""wc_v"": 0.35, ""tau_adapt"": 5.0, ""adapt"": ""offset""}"
search,2.2256,19.158,es r=0.197 qt=1.9,"{""horizon"": 20, ""r"": 0.197, ""qt"": 1.9, ""wc_v"": 0.281, ""tau_adapt"": 8.3, ""adapt"": ""offset""}"
search,0.9517,19.562,es r=0.467 qt=2.65,"{""horizon"": 20, ""r"": 0.467, ""qt"": 2.65, ""wc_v"": 0.274, ""tau_adapt"": 5.9, ""adapt"": ""rls""}"
search,1.0319,17.785,es r=0.41 qt=5.24,"{""horizon"": 20, ""r"": 0.41, ""qt"": 5.24, ""wc_v"": 0.299, ""tau_adapt"": 3.68, ""adapt"": ""rls""}"
search,1.6495,20.479,es r=0.264 qt=3.21,"{""horizon"": 20, ""r"": 0.264, ""qt"": 3.21, ""wc_v"": 0.221, ""tau_adapt"": 6.65, ""adapt"": ""offset""}"
search,1.6848,17.081,es r=0.23 qt=6.09,"{""horizon"": 20, ""r"": 0.23, ""qt"": 6.09, ""wc_v"": 0.371, ""tau_adapt"": 3.65, ""adapt"": ""offset""}"
search,1.7178,-2.745,es r=0.245 qt=4.55,"{""horizon"": 20, ""r"": 0.245, ""qt"": 4.55, ""wc_v"": 0.576, ""tau_adapt"": 2.22, ""adapt"": ""offset""}"
search,2.1502,22.476,es r=0.205 qt=2.48,"{""horizon"": 20, ""r"": 0.205, ""qt"": 2.48, ""wc_v"": 0.426, ""tau_adapt"": 5.7, ""adapt"": ""rls""}"
search,0.9375,11.049,es r=0.469 qt=5.08,"{""horizon"": 20, ""r"": 0.469, ""qt"": 5.08, ""wc_v"": 0.665, ""tau_adapt"": 7.1, ""adapt"": ""offset""}"
search,0.6284,21.006,es r=0.408 qt=3.68,"{""horizon"": 15, ""r"": 0.408, ""qt"": 3.68, ""wc_v"": 0.425, ""tau_adapt"": 6.76, ""adapt"": ""offset""}"
search,1.2457,13.181,es r=0.356 qt=1.43,"{""horizon"": 20, ""r"": 0.356, ""qt"": 1.43, ""wc_v"": 0.211, ""tau_adapt"": 8.71, ""adapt"": ""offset""}"
search,1.6071,15.046,es r=0.342 qt=2.54,"{""horizon"": 30, ""r"": 0.342, ""qt"": 2.54, ""wc_v"": 0.259, ""tau_adapt"": 4.17, ""adapt"": ""offset""}"
search,0.5161,18.911,es r=0.527 qt=3.4,"{""horizon"": 15, ""r"": 0.527, ""qt"": 3.4, ""wc_v"": 0.618, ""tau_adapt"": 6.48, ""adapt"": ""offset""}"
search,1.7194,21.777,es r=0.27 qt=3.48,"{""horizon"": 20, ""r"": 0.27, ""qt"": 3.48, ""wc_v"": 0.389, ""tau_adapt"": 3.39, ""adapt"": ""offset""}"
search,1.1729,14.252,es r=0.341 qt=2.47,"{""horizon"": 20, ""r"": 0.341, ""qt"": 2.47, ""wc_v"": 0.139, ""tau_adapt"": 8.36, ""adapt"": ""offset""}"
search,1.2605,19.806,es r=0.377 qt=2.35,"{""horizon"": 20, ""r"": 0.377, ""qt"": 2.35, ""wc_v"": 0.445, ""tau_adapt"": 4.82, ""adapt"": ""offset""}"
search,1.4772,15.054,es r=0.331 qt=3.16,"{""horizon"": 20, ""r"": 0.331, ""qt"": 3.16, ""wc_v"": 0.538, ""tau_adapt"": 3.18, ""adapt"": ""offset""}"
search,1.4436,15.534,es r=0.393 qt=2.89,"{""horizon"": 30, ""r"": 0.393, ""qt"": 2.89, ""wc_v"": 0.363, ""tau_adapt"": 7.65, ""adapt"": ""rls""}"
search,1.586,16.861,es r=0.279 qt=5.69,"{""horizon"": 20, ""r"": 0.279, ""qt"": 5.69, ""wc_v"": 0.469, ""tau_adapt"": 5.28, ""adapt"": ""offset""}"
search,0.7064,13.498,es r=0.413 qt=5.82,"{""horizon"": 15, ""r"": 0.413, ""qt"": 5.82, ""wc_v"": 0.22, ""tau_adapt"": 6.3, ""adapt"": ""offset""}"
search,1.6903,17.595,es r=0.278 qt=2.06,"{""horizon"": 20, ""r"": 0.278, ""qt"": 2.06, ""wc_v"": 0.246, ""tau_adapt"": 2.8, ""adapt"": ""offset""}"
search,0.8598,21.539,es r=0.294 qt=4.27,"{""horizon"": 15, ""r"": 0.294, ""qt"": 4.27, ""wc_v"": 0.41, ""tau_adapt"": 5.52, ""adapt"": ""offset""}"
search,1.1602,12.991,es r=0.415 qt=2.84,"{""horizon"": 20, ""r"": 0.415, ""qt"": 2.84, ""wc_v"": 0.408, ""tau_adapt"": 2.12, ""adapt"": ""rls""}"
search,1.1761,21.316,es r=0.389 qt=2.96,"{""horizon"": 20, ""r"": 0.389, ""qt"": 2.96, ""wc_v"": 0.279, ""tau_adapt"": 4.78, ""adapt"": ""offset""}"
search,1.6776,13.883,es r=0.304 qt=2.35,"{""horizon"": 30, ""r"": 0.304, ""qt"": 2.35, ""wc_v"": 0.279, ""tau_adapt"": 3.84, ""adapt"": ""rls""}"
search,1.3077,17.863,es r=0.351 qt=1.72,"{""horizon"": 20, ""r"": 0.351, ""qt"": 1.72, ""wc_v"": 0.296, ""tau_adapt"": 4.73, ""adapt"": ""rls""}"
search,0.7404,17.533,es r=0.357 qt=2.4,"{""horizon"": 15, ""r"": 0.357, ""qt"": 2.4, ""wc_v"": 0.356, ""tau_adapt"": 3.34, ""adapt"": ""offset""}"
search,0.8549,17.962,es r=0.523 qt=3.83,"{""horizon"": 20, ""r"": 0.523, ""qt"": 3.83, ""wc_v"": 0.315, ""tau_adapt"": 6.89, ""adapt"": ""offset""}"
search,2.4198,21.764,es r=0.171 qt=2.99,"{""horizon"": 20, ""r"": 0.171, ""qt"": 2.99, ""wc_v"": 0.369, ""tau_adapt"": 3.45, ""adapt"": ""offset""}"
search,0.8381,17.37,es r=0.561 qt=2.3,"{""horizon"": 20, ""r"": 0.561, ""qt"": 2.3, ""wc_v"": 0.401, ""tau_adapt"": 8.63, ""adapt"": ""rls""}"
search,0.7393,17.14,es r=0.646 qt=3.12,"{""horizon"": 20, ""r"": 0.646, ""qt"": 3.12, ""wc_v"": 0.535, ""tau_adapt"": 6.42, ""adapt"": ""rls""}"
search,1.5653,19.291,es r=0.31 qt=1.9,"{""horizon"": 20, ""r"": 0.31, ""qt"": 1.9, ""wc_v"": 0.286, ""tau_adapt"": 5.29, ""adapt"": ""offset""}"
