kind,run,arm,label,seed,J_train_S1S2,J_S3-S6,P_S3-S6,w_S3-S6,T_S3-S6,B_S3-S6,E_S3-S6,F_S3-S6,J_S7-S10,P_S7-S10,w_S7-S10,T_S7-S10,B_S7-S10,E_S7-S10,F_S7-S10,n,comparison,wind_set,mean_diff,wins,exact_p,paired_t_p,diffs
run,jrr3t_s2,jrr3t,jrr3t,2,7.41,5.435,10.42,10.94,-1.54,1.92,0.003,-1.538,7.242,11.72,15.39,-0.48,2.33,-0.008,-0.48,,,,,,,,
run,jrwO3t_s0,jrwO3t,llm_reward single blind proposal,0,11.437,7.985,15.78,19.32,-3.66,0.5,0.029,-3.665,9.428,18.22,23.76,-3.32,-0.95,0.009,-3.319,,,,,,,,
run,jrwO3t_s1,jrwO3t,llm_reward single blind proposal,1,6.665,3.433,15.68,14.3,-13.56,-2.69,0.099,-13.557,4.214,19.67,18.39,-15.9,-5.3,0.07,-15.9,,,,,,,,
run,jrwO3t_s2,jrwO3t,llm_reward single blind proposal,2,8.269,2.691,11.86,8.27,-8.54,-0.83,0.128,-8.54,4.79,14.09,14.86,-9.04,-0.75,0.084,-9.04,,,,,,,,
run,jrwO3t_s3,jrwO3t,llm_reward single blind proposal,3,11.981,6.086,12.99,21.94,-11.53,0.95,-0.007,-11.526,10.548,23.07,35.24,-12.35,-3.77,-0.015,-12.351,,,,,,,,
run,jrwO3t_s4,jrwO3t,llm_reward single blind proposal,4,2.867,4.675,1.7,2.86,9.71,4.43,0.301,9.707,4.312,2.14,4.82,8.52,1.77,0.21,8.516,,,,,,,,
arm,,jg3t,guard-v3 tuned default,,7.05±2.71,4.86±2.76,17.4,19.0,-17.6,0.7,,,5.50±2.09,,,,,,,5,,,,,,,
arm,,jhp3t,"llm_hparam (v3, tuned)",,8.35±1.62,5.26±2.39,17.1,20.7,-18.1,1.2,,,7.13±3.05,,,,,,,3,,,,,,,
arm,,jrhp3t,"random_hparam (v3, tuned)",,8.14±0.25,4.93±2.02,15.1,17.0,-13.2,0.8,,,5.96±2.17,,,,,,,3,,,,,,,
arm,,jcb3t,"llm_combo (hparams + reward, v3, tuned)",,8.81±2.67,6.37±2.94,15.9,16.3,-7.6,0.9,,,8.65±2.60,,,,,,,5,,,,,,,
arm,,jrw3t,"llm_reward (v3, tuned)",,9.36±4.75,5.30±4.17,6.8,10.1,1.5,2.7,,,6.04±4.28,,,,,,,5,,,,,,,
arm,,jrwF3t,"llm_reward told F, J selects",,9.36±3.00,7.00±2.12,9.5,14.6,0.9,3.0,,,8.33±2.38,,,,,,,5,,,,,,,
arm,,jrr3t,jrr3t,,8.36±1.01,6.13±0.52,9.5,10.5,2.1,2.5,,,7.06±1.35,,,,,,,3,,,,,,,
arm,,jrwO3t,llm_reward single blind proposal,,8.24±3.33,4.97±1.90,11.6,13.3,-5.5,0.5,,,6.66±2.75,,,,,,,5,,,,,,,
paired,,,,,,,,,,,,,,,,,,,,3,jhp3t - jg3t,S3-S6,-0.502,2,1.0,0.8796,1.80 3.01 -6.32
paired,,,,,,,,,,,,,,,,,,,,3,jhp3t - jg3t,S7-S10,0.327,2,1.0,0.923,4.76 1.61 -5.39
paired,,,,,,,,,,,,,,,,,,,,3,jrhp3t - jg3t,S3-S6,-0.832,2,1.0,0.7851,0.71 2.83 -6.03
paired,,,,,,,,,,,,,,,,,,,,3,jrhp3t - jg3t,S7-S10,-0.848,2,1.0,0.7617,1.28 1.90 -5.72
paired,,,,,,,,,,,,,,,,,,,,5,jcb3t - jg3t,S3-S6,1.507,4,0.3125,0.3678,0.17 4.93 -3.54 3.59 2.38
paired,,,,,,,,,,,,,,,,,,,,5,jcb3t - jg3t,S7-S10,3.148,4,0.125,0.1142,1.14 3.77 -1.10 8.25 3.69
paired,,,,,,,,,,,,,,,,,,,,5,jrw3t - jg3t,S3-S6,0.438,3,0.75,0.8079,0.67 6.16 0.80 -4.13 -1.32
paired,,,,,,,,,,,,,,,,,,,,5,jrw3t - jg3t,S7-S10,0.533,3,0.6875,0.7165,1.90 4.72 0.46 -1.00 -3.42
paired,,,,,,,,,,,,,,,,,,,,5,jrwF3t - jg3t,S3-S6,2.14,4,0.3125,0.264,2.76 5.06 0.63 -3.41 5.66
paired,,,,,,,,,,,,,,,,,,,,5,jrwF3t - jg3t,S7-S10,2.827,4,0.1875,0.0966,3.89 4.43 0.94 -1.21 6.08
paired,,,,,,,,,,,,,,,,,,,,3,jrr3t - jg3t,S3-S6,0.373,2,1.0,0.8387,1.27 2.61 -2.76
paired,,,,,,,,,,,,,,,,,,,,3,jrr3t - jg3t,S7-S10,0.257,1,1.0,0.8551,2.69 -0.53 -1.38
paired,,,,,,,,,,,,,,,,,,,,5,jrwO3t - jg3t,S3-S6,0.117,2,1.0,0.9499,2.99 -0.66 -5.50 -0.79 4.54
paired,,,,,,,,,,,,,,,,,,,,5,jrwO3t - jg3t,S7-S10,1.155,3,0.5,0.5378,3.50 -1.65 -3.84 5.57 2.19
