arm,objective,n_seeds,per_seed,mean,std,strict,speed_std_ratio_mean,energy_loss_pct_mean,runs
guard,tower,5,11.86 13.29 11.96 14.65 10.96,12.54,1.44,5/5,0.928,0.195,tq_off_s0 tq_off_s1 tq_off_s2 tq_off_s3 tq_off_s4
llm_fork,tower,7,15.89 13.98 16.59 15.72 13.84 18.65 16.21,15.84,1.63,7/7,0.919,0.274,n1_llmfork_s0 n1_llmfork_s1 n1_llmfork_s2 n1_llmfork_s3 n1_llmfork_s4 n1_llmfork_s5 n1_llmfork_s6
llm_single,tower,5,15.74 13.27 15.07 16.60 18.05,15.75,1.78,5/5,0.906,0.341,n1_llmsingle_s0 n1_llmsingle_s1 n1_llmsingle_s2 n1_llmsingle_s3 n1_llmsingle_s4
mono,tower,5,16.61 9.60 11.82 9.21 14.02,12.25,3.1,4/5,0.977,0.239,n1_mono_s0 n1_mono_s1 n1_mono_s2 n1_mono_s3 n1_mono_s4
random_fork,tower,7,12.37 2.75 15.68 12.55 6.62 11.98 14.14,10.87,4.55,7/7,0.931,0.196,n1_randfork_s0 n1_randfork_s1 n1_randfork_s2 n1_randfork_s3 n1_randfork_s4 n1_randfork_s5 n1_randfork_s6
schedule_ep,tower,5,10.73 15.47 12.85 18.27 11.81,13.83,3.04,5/5,0.924,0.262,sched2_ep_s0 sched2_ep_s1 sched2_ep_s2 sched2_ep_s3 sched2_ep_s4
